item_id,product_name,department_name,price,stock_quantity
1,"Golden River Apples","Golden River Market",15.65,98
2,"Dog Soldier Action Figure","Namtengo Works",9.50,200
3,"Full Metal Alchemist - The Movie","Best Sells Mega Mark",20.00,89
4,"Monster Hunter Megaverse","CapuconI Eniq",75.99,29
5,"Intensive Repair Lotion",Pharmaceutical,24.50,66
6,"Techno-Laser Pistol","Nega-Arms Inc",550.99,878
7,"Nero-Link Power Armor","Nega-Arms Inc",1489.50,75
8,"Nero-Link Power Gloves","Nega-Arms Inc",875.00,42
9,"Ong Bak 18 - Wrath of the Giants","Best Sells Mega Mark",25.00,67
10,"Honey Red River Apples","Golden River MArket",17.89,52
